"by","S","R","logRS"
55,12052.2618707781,33853.1256426782,1.03277898369571
56,22292.0723037627,60741.3202150187,1.00239308170691
57,168308.723020823,103114.662375534,-0.489958334043775
58,63191.3500717863,182274.041968682,1.05934385387899
59,13538.4456234906,16190.2726346807,0.178877145205612
60,22507.8120503169,84369.1251555833,1.32133906779695
61,32529.5358943414,82705.7802230411,0.933141020078169
62,198629.723816269,93699.3296949676,-0.751351371677589
63,4824.92651583453,18962.8968885031,1.36868876983764
64,56013.9670321564,84521.6460485285,0.411406596887099
65,86228.7358344488,78237.3758467861,-0.0972559990918351
66,40987.20068318,219202.629998584,1.67673671366316
67,13048.0003259311,64313.7387715957,1.5951383848653
68,62836.0411628576,147666.411120419,0.854426938092562
69,39144.0537636863,44296.1855322273,0.12365004050587
70,202130.724379823,120595.712976777,-0.516470902279838
71,60977.8313427796,170421.471651319,1.02776423629051
72,58786.4749646298,226217.161231412,1.34758361747896
73,35995.7315781851,606940.310113959,2.82503008617905
74,128810.028003625,75152.3042595179,-0.538821889945666
75,111721.455850651,300586.422229384,0.989726535164429
76,164811.168755269,142068.504920428,-0.148491016465322
77,459536.739000861,107355.752587234,-1.4540707827983
78,245077.609968357,112159.818940909,-0.781650126770967
79,35634.9511517548,39624.6073035229,0.106123391668283
80,135339.797671875,140631.975712274,0.0383577409522507
81,81890.9212213602,93081.5920251512,0.128088309408414
82,53343.5217323348,72444.4610783099,0.306067673396365
83,68824.8357414356,107271.882656335,0.443801906673784
84,81953.9575492944,51726.992116064,-0.460177859774581
85,39034.2934366496,127711.169308919,1.18533064579245
86,31698.4121204554,72043.7021902691,0.821006320954889
87,59734.2925716589,102892.325115986,0.543776783786757
88,9233.91484570972,10391.8141613364,0.118135294128288
89,139335.026669384,42542.7582029168,-1.18637165137385
90,86106.9549025583,212667.370438116,0.904139118736748
91,10318.7737632704,29704.6928055594,1.057340108643
92,36388.1240973431,92350.1916640759,0.931345321706716
93,55623.1339434017,267157.696525297,1.5692399149022
94,74663.3812175793,201929.89188522,0.994930806614809
