scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst
trendLinear_halfSmax_Prod1,trendLinear_halfSmax_Prod1,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.456,1,FALSE,FALSE,linear,0,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinear_halfSmax_Prod2,trendLinear_halfSmax_Prod2,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.456,1,FALSE,FALSE,linear,0.5331901,50,11,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinear_halfSmax_Prod5,trendLinear_halfSmax_Prod5,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.456,1,FALSE,FALSE,linear,1.2380292,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinear_halfSmax_Prod7,trendLinear_halfSmax_Prod7,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.456,1,FALSE,FALSE,linear,1.496854,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regime_halfSmax_Prod1,regime_halfSmax_Prod1,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.456,1,FALSE,FALSE,regime,0,50,NA,NA,20,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regime_halfSmax_Prod2,regime_halfSmax_Prod2,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.456,1,FALSE,FALSE,regime,0.5331901,50,NA,NA,20,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regime_halfSmax_Prod5,regime_halfSmax_Prod5,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.456,1,FALSE,FALSE,regime,1.2380292,50,NA,NA,20,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regime_halfSmax_Prod7,regime_halfSmax_Prod7,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.456,1,FALSE,FALSE,regime,1.496854,50,NA,NA,20,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
